# This file is generated on 06-Dec-2021 at 11:37:42 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 1, 7.5000e+01, 2.5166e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0699e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6539e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3327e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2170e-02, 1.9000e+01
1, 1, 7.5000e+01, 4.9855e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2305e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9467e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7888e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3629e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7485e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1109e-02, 9.9990e+01
1, 1, 7.5000e+01, 1.3333e+00, 5.0000e-04
1, 1, 7.5000e+01, 1.1958e+00, 1.0000e-03
1, 1, 7.5000e+01, 1.0039e+00, 3.0000e-03
1, 1, 7.5000e+01, 9.2446e-01, 5.0000e-03
1, 1, 7.5000e+01, 8.2545e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6356e-01, 1.6000e-02
1, 1, 7.5000e+01, 6.9915e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.4038e-01, 4.5000e-02
1, 1, 7.5000e+01, 5.8245e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.2928e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.8305e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.3594e-01, 3.5000e-01
1, 1, 7.5000e+01, 3.8813e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.4850e-01, 9.5000e-01
1, 1, 7.5000e+01, 2.9928e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.5166e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0699e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6539e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3327e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2170e-02, 1.9000e+01
1, 1, 7.5000e+01, 4.9855e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2305e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9467e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7888e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3629e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7485e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1109e-02, 9.9990e+01
1, 1, 7.5000e+01, 1.3333e+00, 5.0000e-04
1, 1, 7.5000e+01, 1.1958e+00, 1.0000e-03
1, 1, 7.5000e+01, 1.0039e+00, 3.0000e-03
1, 1, 7.5000e+01, 9.2446e-01, 5.0000e-03
1, 1, 7.5000e+01, 8.2545e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6356e-01, 1.6000e-02
1, 1, 7.5000e+01, 6.9915e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.4038e-01, 4.5000e-02
1, 1, 7.5000e+01, 5.8245e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.2928e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.8305e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.3594e-01, 3.5000e-01
1, 1, 7.5000e+01, 3.8813e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.4850e-01, 9.5000e-01
1, 1, 7.5000e+01, 2.9928e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.5166e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0699e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6539e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3327e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2170e-02, 1.9000e+01
1, 1, 7.5000e+01, 4.9855e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2305e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9467e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7888e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3629e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7485e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1109e-02, 9.9990e+01
1, 1, 7.5000e+01, 1.3333e+00, 5.0000e-04
1, 1, 7.5000e+01, 1.1958e+00, 1.0000e-03
1, 1, 7.5000e+01, 1.0039e+00, 3.0000e-03
1, 1, 7.5000e+01, 9.2446e-01, 5.0000e-03
1, 1, 7.5000e+01, 8.2545e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6356e-01, 1.6000e-02
1, 1, 7.5000e+01, 6.9915e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.4038e-01, 4.5000e-02
1, 1, 7.5000e+01, 5.8245e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.2928e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.8305e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.3594e-01, 3.5000e-01
1, 1, 7.5000e+01, 3.8813e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.4850e-01, 9.5000e-01
1, 1, 7.5000e+01, 2.9928e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.5166e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0699e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6539e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3327e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2170e-02, 1.9000e+01
1, 1, 7.5000e+01, 4.9855e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2305e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9467e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7888e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3629e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7485e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1109e-02, 9.9990e+01
1, 1, 7.5000e+01, 1.3333e+00, 5.0000e-04
1, 1, 7.5000e+01, 1.1958e+00, 1.0000e-03
1, 1, 7.5000e+01, 1.0039e+00, 3.0000e-03
1, 1, 7.5000e+01, 9.2446e-01, 5.0000e-03
1, 1, 7.5000e+01, 8.2545e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6356e-01, 1.6000e-02
1, 1, 7.5000e+01, 6.9915e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.4038e-01, 4.5000e-02
1, 1, 7.5000e+01, 5.8245e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.2928e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.8305e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.3594e-01, 3.5000e-01
1, 1, 7.5000e+01, 3.8813e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.4850e-01, 9.5000e-01
1, 1, 7.5000e+01, 2.9928e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.5166e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0699e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6539e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3327e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2170e-02, 1.9000e+01
1, 1, 7.5000e+01, 4.9855e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2305e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9467e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7888e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3629e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7485e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1109e-02, 9.9990e+01
1, 1, 7.5000e+01, 1.3333e+00, 5.0000e-04
1, 1, 7.5000e+01, 1.1958e+00, 1.0000e-03
1, 1, 7.5000e+01, 1.0039e+00, 3.0000e-03
1, 1, 7.5000e+01, 9.2446e-01, 5.0000e-03
1, 1, 7.5000e+01, 8.2545e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6356e-01, 1.6000e-02
1, 1, 7.5000e+01, 6.9915e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.4038e-01, 4.5000e-02
1, 1, 7.5000e+01, 5.8245e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.2928e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.8305e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.3594e-01, 3.5000e-01
1, 1, 7.5000e+01, 3.8813e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.4850e-01, 9.5000e-01
1, 1, 7.5000e+01, 2.9928e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.5166e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0699e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6539e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3327e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2170e-02, 1.9000e+01
1, 1, 7.5000e+01, 4.9855e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2305e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9467e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7888e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3629e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7485e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1109e-02, 9.9990e+01
1, 1, 7.5000e+01, 1.3333e+00, 5.0000e-04
1, 1, 7.5000e+01, 1.1958e+00, 1.0000e-03
1, 1, 7.5000e+01, 1.0039e+00, 3.0000e-03
1, 1, 7.5000e+01, 9.2446e-01, 5.0000e-03
1, 1, 7.5000e+01, 8.2545e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6356e-01, 1.6000e-02
1, 1, 7.5000e+01, 6.9915e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.4038e-01, 4.5000e-02
1, 1, 7.5000e+01, 5.8245e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.2928e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.8305e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.3594e-01, 3.5000e-01
1, 1, 7.5000e+01, 3.8813e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.4850e-01, 9.5000e-01
1, 1, 7.5000e+01, 2.9928e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.5166e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0699e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6539e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3327e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2170e-02, 1.9000e+01
1, 1, 7.5000e+01, 4.9855e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2305e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9467e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7888e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3629e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7485e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1109e-02, 9.9990e+01
1, 1, 7.5000e+01, 1.3333e+00, 5.0000e-04
1, 1, 7.5000e+01, 1.1958e+00, 1.0000e-03
1, 1, 7.5000e+01, 1.0039e+00, 3.0000e-03
1, 1, 7.5000e+01, 9.2446e-01, 5.0000e-03
1, 1, 7.5000e+01, 8.2545e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6356e-01, 1.6000e-02
1, 1, 7.5000e+01, 6.9915e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.4038e-01, 4.5000e-02
1, 1, 7.5000e+01, 5.8245e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.2928e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.8305e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.3594e-01, 3.5000e-01
1, 1, 7.5000e+01, 3.8813e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.4850e-01, 9.5000e-01
1, 1, 7.5000e+01, 2.9928e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.5166e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0699e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6539e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3327e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2170e-02, 1.9000e+01
1, 1, 7.5000e+01, 4.9855e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2305e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9467e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7888e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3629e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7485e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1109e-02, 9.9990e+01
1, 1, 7.5000e+01, 1.3333e+00, 5.0000e-04
1, 1, 7.5000e+01, 1.1958e+00, 1.0000e-03
1, 1, 7.5000e+01, 1.0039e+00, 3.0000e-03
1, 1, 7.5000e+01, 9.2446e-01, 5.0000e-03
1, 1, 7.5000e+01, 8.2545e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6356e-01, 1.6000e-02
1, 1, 7.5000e+01, 6.9915e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.4038e-01, 4.5000e-02
1, 1, 7.5000e+01, 5.8245e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.2928e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.8305e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.3594e-01, 3.5000e-01
1, 1, 7.5000e+01, 3.8813e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.4850e-01, 9.5000e-01
1, 1, 7.5000e+01, 2.9928e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.5166e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0699e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6539e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3327e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2170e-02, 1.9000e+01
1, 1, 7.5000e+01, 4.9855e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2305e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9467e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7888e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3629e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7485e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1109e-02, 9.9990e+01
1, 1, 7.5000e+01, 1.3333e+00, 5.0000e-04
1, 1, 7.5000e+01, 1.1958e+00, 1.0000e-03
1, 1, 7.5000e+01, 1.0039e+00, 3.0000e-03
1, 1, 7.5000e+01, 9.2446e-01, 5.0000e-03
1, 1, 7.5000e+01, 8.2545e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6356e-01, 1.6000e-02
1, 1, 7.5000e+01, 6.9915e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.4038e-01, 4.5000e-02
1, 1, 7.5000e+01, 5.8245e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.2928e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.8305e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.3594e-01, 3.5000e-01
1, 1, 7.5000e+01, 3.8813e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.4850e-01, 9.5000e-01
1, 1, 7.5000e+01, 2.9928e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.5166e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0699e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6539e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3327e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2170e-02, 1.9000e+01
1, 1, 7.5000e+01, 4.9855e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2305e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9467e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7888e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3629e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7485e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1109e-02, 9.9990e+01
1, 1, 7.5000e+01, 1.3333e+00, 5.0000e-04
1, 1, 7.5000e+01, 1.1958e+00, 1.0000e-03
1, 1, 7.5000e+01, 1.0039e+00, 3.0000e-03
1, 1, 7.5000e+01, 9.2446e-01, 5.0000e-03
1, 1, 7.5000e+01, 8.2545e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6356e-01, 1.6000e-02
1, 1, 7.5000e+01, 6.9915e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.4038e-01, 4.5000e-02
1, 1, 7.5000e+01, 5.8245e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.2928e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.8305e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.3594e-01, 3.5000e-01
1, 1, 7.5000e+01, 3.8813e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.4850e-01, 9.5000e-01
1, 1, 7.5000e+01, 2.9928e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.5166e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0699e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6539e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3327e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2170e-02, 1.9000e+01
1, 1, 7.5000e+01, 4.9855e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2305e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9467e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7888e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3629e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7485e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1109e-02, 9.9990e+01
1, 1, 7.5000e+01, 1.3333e+00, 5.0000e-04
1, 1, 7.5000e+01, 1.1958e+00, 1.0000e-03
1, 1, 7.5000e+01, 1.0039e+00, 3.0000e-03
1, 1, 7.5000e+01, 9.2446e-01, 5.0000e-03
1, 1, 7.5000e+01, 8.2545e-01, 1.0000e-02
1, 1, 7.5000e+01, 7.6356e-01, 1.6000e-02
1, 1, 7.5000e+01, 6.9915e-01, 2.7000e-02
1, 1, 7.5000e+01, 6.4038e-01, 4.5000e-02
1, 1, 7.5000e+01, 5.8245e-01, 7.7000e-02
1, 1, 7.5000e+01, 5.2928e-01, 1.3000e-01
1, 1, 7.5000e+01, 4.8305e-01, 2.1000e-01
1, 1, 7.5000e+01, 4.3594e-01, 3.5000e-01
1, 1, 7.5000e+01, 3.8813e-01, 6.0000e-01
1, 1, 7.5000e+01, 3.4850e-01, 9.5000e-01
1, 1, 7.5000e+01, 2.9928e-01, 1.7000e+00
1, 1, 7.5000e+01, 2.5166e-01, 3.0000e+00
1, 1, 7.5000e+01, 2.0699e-01, 5.1000e+00
1, 1, 7.5000e+01, 1.6539e-01, 8.3000e+00
1, 1, 7.5000e+01, 1.3327e-01, 1.2000e+01
1, 1, 7.5000e+01, 9.2170e-02, 1.9000e+01
1, 1, 7.5000e+01, 4.9855e-02, 3.0000e+01
1, 1, 7.5000e+01, 2.2305e-02, 4.0000e+01
1, 1, 7.5000e+01, 3.9467e-04, 5.0000e+01
1, 1, 7.5000e+01, -1.7888e-02, 6.0000e+01
1, 1, 7.5000e+01, -3.3629e-02, 7.0000e+01
1, 1, 7.5000e+01, -4.7485e-02, 8.0000e+01
1, 1, 7.5000e+01, -7.1109e-02, 9.9990e+01
1, 2, 7.5000e+01, 1.2472e+00, 5.0000e-04
1, 2, 7.5000e+01, 1.1186e+00, 1.0000e-03
1, 2, 7.5000e+01, 9.3908e-01, 3.0000e-03
1, 2, 7.5000e+01, 8.6474e-01, 5.0000e-03
1, 2, 7.5000e+01, 7.7213e-01, 1.0000e-02
1, 2, 7.5000e+01, 7.1424e-01, 1.6000e-02
1, 2, 7.5000e+01, 6.5399e-01, 2.7000e-02
1, 2, 7.5000e+01, 5.9901e-01, 4.5000e-02
1, 2, 7.5000e+01, 5.4482e-01, 7.7000e-02
1, 2, 7.5000e+01, 4.9509e-01, 1.3000e-01
1, 2, 7.5000e+01, 4.5185e-01, 2.1000e-01
1, 2, 7.5000e+01, 4.0778e-01, 3.5000e-01
1, 2, 7.5000e+01, 3.6306e-01, 6.0000e-01
1, 2, 7.5000e+01, 3.2599e-01, 9.5000e-01
1, 2, 7.5000e+01, 2.7995e-01, 1.7000e+00
1, 2, 7.5000e+01, 2.3540e-01, 3.0000e+00
1, 2, 7.5000e+01, 1.9362e-01, 5.1000e+00
1, 2, 7.5000e+01, 1.5471e-01, 8.3000e+00
1, 2, 7.5000e+01, 1.2466e-01, 1.2000e+01
1, 2, 7.5000e+01, 8.6217e-02, 1.9000e+01
1, 2, 7.5000e+01, 4.6635e-02, 3.0000e+01
1, 2, 7.5000e+01, 2.0864e-02, 4.0000e+01
1, 2, 7.5000e+01, 3.6918e-04, 5.0000e+01
1, 2, 7.5000e+01, -1.6732e-02, 6.0000e+01
1, 2, 7.5000e+01, -3.1457e-02, 7.0000e+01
1, 2, 7.5000e+01, -4.4418e-02, 8.0000e+01
1, 2, 7.5000e+01, -6.6516e-02, 9.9990e+01
1, 2, 7.5000e+01, 1.2472e+00, 5.0000e-04
1, 2, 7.5000e+01, 1.1186e+00, 1.0000e-03
1, 2, 7.5000e+01, 9.3908e-01, 3.0000e-03
1, 2, 7.5000e+01, 8.6474e-01, 5.0000e-03
1, 2, 7.5000e+01, 7.7213e-01, 1.0000e-02
1, 2, 7.5000e+01, 7.1424e-01, 1.6000e-02
1, 2, 7.5000e+01, 6.5399e-01, 2.7000e-02
1, 2, 7.5000e+01, 5.9901e-01, 4.5000e-02
1, 2, 7.5000e+01, 5.4482e-01, 7.7000e-02
1, 2, 7.5000e+01, 4.9509e-01, 1.3000e-01
1, 2, 7.5000e+01, 4.5185e-01, 2.1000e-01
1, 2, 7.5000e+01, 4.0778e-01, 3.5000e-01
1, 2, 7.5000e+01, 3.6306e-01, 6.0000e-01
1, 2, 7.5000e+01, 3.2599e-01, 9.5000e-01
1, 2, 7.5000e+01, 2.7995e-01, 1.7000e+00
1, 2, 7.5000e+01, 2.3540e-01, 3.0000e+00
1, 2, 7.5000e+01, 1.9362e-01, 5.1000e+00
1, 2, 7.5000e+01, 1.5471e-01, 8.3000e+00
1, 2, 7.5000e+01, 1.2466e-01, 1.2000e+01
1, 2, 7.5000e+01, 8.6217e-02, 1.9000e+01
1, 2, 7.5000e+01, 4.6635e-02, 3.0000e+01
1, 2, 7.5000e+01, 2.0864e-02, 4.0000e+01
1, 2, 7.5000e+01, 3.6918e-04, 5.0000e+01
1, 2, 7.5000e+01, -1.6732e-02, 6.0000e+01
1, 2, 7.5000e+01, -3.1457e-02, 7.0000e+01
1, 2, 7.5000e+01, -4.4418e-02, 8.0000e+01
1, 2, 7.5000e+01, -6.6516e-02, 9.9990e+01
1, 2, 7.5000e+01, 1.2472e+00, 5.0000e-04
1, 2, 7.5000e+01, 1.1186e+00, 1.0000e-03
1, 2, 7.5000e+01, 9.3908e-01, 3.0000e-03
1, 2, 7.5000e+01, 8.6474e-01, 5.0000e-03
1, 2, 7.5000e+01, 7.7213e-01, 1.0000e-02
1, 2, 7.5000e+01, 7.1424e-01, 1.6000e-02
1, 2, 7.5000e+01, 6.5399e-01, 2.7000e-02
1, 2, 7.5000e+01, 5.9901e-01, 4.5000e-02
1, 2, 7.5000e+01, 5.4482e-01, 7.7000e-02
1, 2, 7.5000e+01, 4.9509e-01, 1.3000e-01
1, 2, 7.5000e+01, 4.5185e-01, 2.1000e-01
1, 2, 7.5000e+01, 4.0778e-01, 3.5000e-01
1, 2, 7.5000e+01, 3.6306e-01, 6.0000e-01
1, 2, 7.5000e+01, 3.2599e-01, 9.5000e-01
1, 2, 7.5000e+01, 2.7995e-01, 1.7000e+00
1, 2, 7.5000e+01, 2.3540e-01, 3.0000e+00
1, 2, 7.5000e+01, 1.9362e-01, 5.1000e+00
1, 2, 7.5000e+01, 1.5471e-01, 8.3000e+00
1, 2, 7.5000e+01, 1.2466e-01, 1.2000e+01
1, 2, 7.5000e+01, 8.6217e-02, 1.9000e+01
1, 2, 7.5000e+01, 4.6635e-02, 3.0000e+01
1, 2, 7.5000e+01, 2.0864e-02, 4.0000e+01
1, 2, 7.5000e+01, 3.6918e-04, 5.0000e+01
1, 2, 7.5000e+01, -1.6732e-02, 6.0000e+01
1, 2, 7.5000e+01, -3.1457e-02, 7.0000e+01
1, 2, 7.5000e+01, -4.4418e-02, 8.0000e+01
1, 2, 7.5000e+01, -6.6516e-02, 9.9990e+01
1, 2, 7.5000e+01, 1.2472e+00, 5.0000e-04
1, 2, 7.5000e+01, 1.1186e+00, 1.0000e-03
1, 2, 7.5000e+01, 9.3908e-01, 3.0000e-03
1, 2, 7.5000e+01, 8.6474e-01, 5.0000e-03
1, 2, 7.5000e+01, 7.7213e-01, 1.0000e-02
1, 2, 7.5000e+01, 7.1424e-01, 1.6000e-02
1, 2, 7.5000e+01, 6.5399e-01, 2.7000e-02
1, 2, 7.5000e+01, 5.9901e-01, 4.5000e-02
1, 2, 7.5000e+01, 5.4482e-01, 7.7000e-02
1, 2, 7.5000e+01, 4.9509e-01, 1.3000e-01
1, 2, 7.5000e+01, 4.5185e-01, 2.1000e-01
1, 2, 7.5000e+01, 4.0778e-01, 3.5000e-01
1, 2, 7.5000e+01, 3.6306e-01, 6.0000e-01
1, 2, 7.5000e+01, 3.2599e-01, 9.5000e-01
1, 2, 7.5000e+01, 2.7995e-01, 1.7000e+00
1, 2, 7.5000e+01, 2.3540e-01, 3.0000e+00
1, 2, 7.5000e+01, 1.9362e-01, 5.1000e+00
1, 2, 7.5000e+01, 1.5471e-01, 8.3000e+00
1, 2, 7.5000e+01, 1.2466e-01, 1.2000e+01
1, 2, 7.5000e+01, 8.6217e-02, 1.9000e+01
1, 2, 7.5000e+01, 4.6635e-02, 3.0000e+01
1, 2, 7.5000e+01, 2.0864e-02, 4.0000e+01
1, 2, 7.5000e+01, 3.6918e-04, 5.0000e+01
1, 2, 7.5000e+01, -1.6732e-02, 6.0000e+01
1, 2, 7.5000e+01, -3.1457e-02, 7.0000e+01
1, 2, 7.5000e+01, -4.4418e-02, 8.0000e+01
1, 2, 7.5000e+01, -6.6516e-02, 9.9990e+01
1, 2, 7.5000e+01, 1.2472e+00, 5.0000e-04
1, 2, 7.5000e+01, 1.1186e+00, 1.0000e-03
1, 2, 7.5000e+01, 9.3908e-01, 3.0000e-03
1, 2, 7.5000e+01, 8.6474e-01, 5.0000e-03
1, 2, 7.5000e+01, 7.7213e-01, 1.0000e-02
1, 2, 7.5000e+01, 7.1424e-01, 1.6000e-02
1, 2, 7.5000e+01, 6.5399e-01, 2.7000e-02
1, 2, 7.5000e+01, 5.9901e-01, 4.5000e-02
1, 2, 7.5000e+01, 5.4482e-01, 7.7000e-02
1, 2, 7.5000e+01, 4.9509e-01, 1.3000e-01
1, 2, 7.5000e+01, 4.5185e-01, 2.1000e-01
